NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
399	195.159	47.634	50.207	42.634	0.222	0.857	20000.0
400	195.705	52.074	52.086	50.269	0.281	0.803	30000.0
401	189.626	50.785	51.925	49.207	0.264	0.808	20000.0
402	187.416	49.719	49.202	47.232	0.253	0.818	20000.0
403	203.151	57.311	51.003	52.205	0.316	0.75	20000.0
404	193.522	48.337	50.165	43.984	0.236	0.845	20000.0
405	190.825	48.425	48.698	43.059	0.231	0.856	20000.0
406	199.916	49.078	50.982	44.317	0.219	0.845	20000.0
407	186.972	50.254	48.733	47.846	0.266	0.807	20000.0
408	200.571	47.98	52.123	43.771	0.222	0.848	20000.0
409	191.797	52.932	50.696	49.62	0.28	0.797	20000.0
410	214.828	56.578	53.737	49.803	0.295	0.771	30000.0
411	201.979	49.914	52.871	44.132	0.245	0.846	20000.0
412	188.741	47.1	49.154	42.842	0.223	0.855	20000.0
413	187.197	46.93	49.605	43.634	0.221	0.854	20000.0
414	189.322	45.863	49.186	41.965	0.208	0.867	20000.0
415	212.088	54.291	54.399	48.057	0.284	0.813	20000.0
416	190.323	51.164	51.355	50.744	0.268	0.793	20000.0
417	182.528	49.537	46.75	46.167	0.252	0.818	20000.0
418	190.863	50.207	50.852	47.526	0.271	0.813	20000.0
419	186.377	48.426	50.117	45.534	0.238	0.84	20000.0
420	214.564	57.118	53.992	50.842	0.304	0.765	20000.0
421	185.949	50.56	48.09	47.459	0.263	0.816	20000.0
422	197.551	48.948	50.846	44.298	0.234	0.848	20000.0
423	199.782	47.209	51.326	42.762	0.222	0.851	20000.0
424	187.044	51.064	49.291	47.841	0.269	0.813	20000.0
425	190.607	47.005	48.828	41.993	0.233	0.86	20000.0
426	192.804	46.894	49.921	41.818	0.222	0.865	20000.0
427	202.844	50.183	52.73	44.971	0.237	0.838	20000.0
428	190.899	45.551	50.081	42.146	0.209	0.864	20000.0
429	203.277	56.729	53.952	52.546	0.319	0.771	20000.0
430	184.892	50.911	48.596	48.066	0.262	0.811	30000.0
431	195.944	48.116	51.529	44.359	0.232	0.844	20000.0
432	192.529	48.689	50.599	44.647	0.23	0.84	20000.0
433	190.601	49.663	51.298	46.919	0.25	0.828	20000.0
434	190.226	50.416	50.512	46.303	0.256	0.827	20000.0
435	196.827	46.649	50.806	42.203	0.214	0.861	20000.0
436	193.216	47.193	48.313	42.71	0.227	0.851	20000.0
437	184.886	49.838	47.518	46.671	0.25	0.818	20000.0
438	195.445	47.375	50.7	43.249	0.227	0.852	20000.0
439	194.655	48.641	51.189	44.884	0.23	0.841	20000.0
440	192.81	47.665	50.333	43.99	0.227	0.842	20000.0
441	197.172	48.984	49.201	43.291	0.228	0.848	20000.0
442	193.254	51.895	51.112	50.055	0.277	0.8	20000.0
443	189.874	47.425	48.368	42.134	0.223	0.861	20000.0
444	204.372	52.007	53.235	47.589	0.275	0.816	20000.0
