# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-VN-A88R-01A-11D-A363-01	-0.459000	0.846000
TCGA-HI-7169-01A-11D-2112-01	-0.100000	0.100000
TCGA-ZG-A9NI-01A-11D-A41J-01	-0.721000	1.188000
TCGA-YL-A9WJ-01A-11D-A376-01	-0.496000	0.475000
TCGA-HC-7741-01C-05D-2297-01	-1.393000	0.205000
TCGA-V1-A8WW-01A-11D-A376-01	-0.894000	1.320000
TCGA-Y6-A9XI-01A-11D-A41J-01	-0.914000	0.100000
TCGA-HC-8266-01A-11D-2259-01	-0.347000	0.860000
TCGA-CH-5737-01A-11D-1574-01	-0.832000	0.100000
TCGA-J4-A67S-01A-11D-A30D-01	-0.528000	0.100000
TCGA-VN-A88N-01A-11D-A363-01	-0.707000	0.100000
TCGA-EJ-7328-01A-31D-2112-01	-0.511000	0.256000
TCGA-VN-A88I-01A-11D-A34T-01	-0.221000	0.223000
TCGA-KK-A8I5-01A-11D-A363-01	-0.551000	0.100000
TCGA-EJ-5497-01A-02D-1574-01	-0.100000	0.516000
TCGA-YL-A8SI-01A-11D-A41J-01	-0.262000	0.100000
TCGA-CH-5744-01A-11D-1574-01	-0.655000	0.100000
TCGA-YL-A9WY-01A-11D-A41J-01	-0.507000	1.022000
TCGA-KK-A59Z-01A-12D-A26L-01	-0.547000	1.975000
TCGA-J4-A67Q-01A-21D-A30D-01	-0.100000	0.100000
TCGA-FC-A4JI-01A-11D-A256-01	-0.600000	1.401000
TCGA-XK-AAJ3-01A-11D-A41J-01	-0.321000	0.685000
TCGA-EJ-5498-01A-01D-1574-01	-0.301000	0.100000
TCGA-MG-AAMC-01A-11D-A41J-01	-0.849000	0.470000
TCGA-TP-A8TT-01A-12D-A41J-01	-0.705000	0.610000
TCGA-EJ-A7NF-01A-11D-A33S-01	-0.831000	0.100000
TCGA-VP-A87D-01A-11D-A34T-01	-0.856000	0.824000
TCGA-ZG-A9LN-01A-11D-A41J-01	-0.100000	0.421000
TCGA-EJ-5527-01A-01D-1574-01	-0.387000	0.398000
TCGA-KK-A7AQ-01A-11D-A33S-01	-0.748000	0.100000
TCGA-YL-A9WI-01A-11D-A376-01	-0.993000	1.529000
TCGA-YL-A8SL-01B-21D-A376-01	-0.923000	0.515000
TCGA-EJ-5509-01A-01D-1574-01	-0.100000	0.573000
TCGA-KK-A7AP-01A-12D-A33S-01	-0.860000	0.846000
TCGA-EJ-A46H-01A-31D-A26L-01	-0.100000	0.100000
TCGA-EJ-A7NJ-01A-22D-A34T-01	-0.100000	0.100000
TCGA-YL-A8HJ-01A-11D-A363-01	-0.437000	0.100000
TCGA-ZG-A9LM-01A-11D-A41J-01	-0.722000	1.064000
