# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-CH-5753-01A-11D-1574-01	-0.844000	0.603000
TCGA-VP-A87J-01A-11D-A34T-01	-0.929000	0.100000
TCGA-V1-A8X3-01A-11D-A376-01	-0.528000	0.100000
TCGA-HC-A6AP-01A-11D-A30D-01	-0.210000	0.214000
TCGA-KK-A8IB-01A-11D-A363-01	-0.479000	0.541000
TCGA-EJ-7791-01A-11D-2112-01	-0.100000	0.100000
TCGA-HC-7740-01A-11D-2112-01	-0.315000	0.100000
TCGA-HC-7820-01A-11D-2112-01	-0.557000	0.100000
TCGA-G9-6332-01A-11D-1785-01	-0.956000	0.239000
TCGA-EJ-5530-01A-01D-1574-01	-0.642000	0.100000
TCGA-EJ-A6RA-01A-11D-A33S-01	-0.201000	0.100000
TCGA-G9-6371-01A-11D-1785-01	-0.380000	0.287000
TCGA-VN-A88P-01A-11D-A34T-01	-0.805000	0.355000
TCGA-EJ-5495-01A-01D-1574-01	-0.485000	0.851000
TCGA-YL-A8SK-01B-21D-A376-01	-0.556000	1.073000
TCGA-EJ-5494-01A-01D-1574-01	-0.100000	0.233000
TCGA-J4-A67L-01A-11D-A30D-01	-0.498000	0.497000
TCGA-G9-7523-01A-11D-2259-01	-0.317000	0.274000
TCGA-KC-A4BL-01A-31D-A256-01	-0.136000	0.217000
TCGA-EJ-A65D-01A-11D-A30D-01	-1.092000	0.100000
TCGA-J4-AAU2-01A-11D-A41J-01	-0.229000	0.100000
TCGA-KC-A7FE-01A-12D-A33S-01	-0.249000	0.100000
TCGA-KK-A8II-01A-11D-A363-01	-1.038000	0.244000
TCGA-M7-A720-01A-12D-A32A-01	-0.100000	0.100000
TCGA-CH-5768-01A-11D-1574-01	-0.100000	0.280000
TCGA-EJ-A8FN-01A-11D-A34T-01	-0.100000	0.870000
TCGA-VP-A878-01A-31D-A34T-01	-0.510000	0.100000
TCGA-CH-5741-01A-11D-1574-01	-0.801000	0.100000
TCGA-XQ-A8TA-01A-11D-A363-01	-1.069000	0.928000
TCGA-KK-A8IL-01A-11D-A363-01	-0.100000	0.100000
TCGA-HC-8262-01A-11D-2259-01	-0.636000	0.100000
TCGA-HC-A9TE-01A-11D-A41J-01	-0.533000	0.866000
TCGA-HC-A6HY-01A-11D-A31K-01	-0.755000	0.100000
TCGA-CH-5745-01A-11D-1574-01	-0.494000	0.100000
TCGA-EJ-5521-01A-01D-1574-01	-0.501000	0.252000
TCGA-EJ-7782-01A-11D-2112-01	-1.393000	0.767000
TCGA-KK-A8ID-01A-11D-A363-01	-0.100000	0.592000
TCGA-G9-6351-01A-21D-1959-01	-0.385000	0.100000
TCGA-HC-7232-01A-11D-2112-01	-0.667000	0.485000
TCGA-V1-A8WL-01A-11D-A376-01	-0.822000	0.211000
TCGA-HC-A631-01A-11D-A323-01	-1.004000	0.485000
TCGA-FC-A5OB-01A-11D-A323-01	-0.851000	0.100000
TCGA-EJ-7786-01A-11D-2112-01	-0.594000	0.277000
TCGA-ZG-A9MC-01A-31D-A41J-01	-0.338000	0.285000
TCGA-CH-5771-01A-21D-1574-01	-0.390000	0.296000
TCGA-G9-6364-01A-21D-1785-01	-0.700000	0.100000
TCGA-EJ-5499-01A-01D-1574-01	-0.552000	0.100000
TCGA-V1-A9Z9-01A-21D-A41J-01	-0.100000	0.100000
TCGA-J9-A8CK-01A-11D-A34T-01	-0.671000	0.100000
TCGA-X4-A8KQ-01A-12D-A363-01	-0.679000	0.758000
TCGA-J9-A8CL-01A-11D-A34T-01	-0.902000	0.787000
TCGA-EJ-A46E-01A-31D-A256-01	-0.100000	0.100000
TCGA-EJ-5503-01A-01D-1574-01	-0.100000	0.100000
TCGA-HI-7168-01A-11D-2112-01	-0.701000	0.419000
TCGA-V1-A9O5-01A-11D-A41J-01	-0.689000	1.728000
TCGA-HC-7212-01A-11D-2112-01	-0.798000	0.202000
TCGA-G9-6499-01A-12D-1959-01	-0.332000	1.192000
TCGA-HC-7233-01A-11D-2112-01	-0.241000	0.100000
TCGA-G9-6369-01A-21D-1959-01	-0.100000	0.759000
TCGA-EJ-7784-01A-11D-2112-01	-0.217000	1.050000
TCGA-CH-5788-01A-11D-1574-01	-0.873000	1.618000
TCGA-HC-A8D1-01A-11D-A363-01	-0.100000	0.100000
TCGA-EJ-7781-01A-11D-2112-01	-0.635000	0.486000
TCGA-XK-AAIR-01A-11D-A41J-01	-0.434000	0.100000
TCGA-EJ-8469-01A-11D-2391-01	-0.882000	1.888000
TCGA-CH-5766-01A-11D-1574-01	-0.957000	0.265000
TCGA-EJ-7115-01A-11D-2112-01	-0.632000	0.100000
TCGA-V1-A8MF-01A-11D-A363-01	-0.700000	1.074000
TCGA-KK-A7B2-01A-12D-A32A-01	-0.233000	0.229000
TCGA-M7-A71Z-01A-12D-A32A-01	-1.017000	0.100000
TCGA-EJ-A7NH-01A-12D-A33S-01	-0.472000	0.201000
TCGA-YL-A8SP-01B-11D-A376-01	-0.947000	0.611000
TCGA-YL-A9WX-01A-21D-A41J-01	-0.311000	0.211000
TCGA-EJ-5514-01A-01D-1574-01	-0.668000	0.440000
TCGA-G9-6347-01A-11D-A31K-01	-0.219000	0.100000
TCGA-KK-A8IC-01A-11D-A363-01	-0.448000	0.394000
TCGA-M7-A724-01A-12D-A32A-01	-1.062000	1.849000
TCGA-J9-A52E-01A-11D-A26L-01	-0.730000	1.239000
TCGA-EJ-A7NK-01A-12D-A34T-01	-0.100000	0.100000
TCGA-J4-A6G1-01A-11D-A30W-01	-0.226000	0.100000
TCGA-CH-5750-01A-11D-1574-01	-0.762000	0.100000
TCGA-V1-A8ML-01A-11D-A376-01	-0.100000	0.100000
TCGA-YL-A8SF-01A-11D-A376-01	-0.814000	0.789000
TCGA-EJ-5511-01A-01D-1574-01	-0.854000	0.809000
TCGA-V1-A8MK-01A-11D-A363-01	-0.100000	0.100000
TCGA-KK-A6E4-01A-11D-A30D-01	-0.920000	0.100000
TCGA-CH-5792-01A-11D-1574-01	-0.447000	0.100000
TCGA-G9-7522-01A-11D-2259-01	-0.274000	0.100000
TCGA-CH-5763-01A-11D-1574-01	-0.100000	0.100000
TCGA-KC-A7F3-01A-21D-A33S-01	-0.100000	0.100000
TCGA-VP-A87E-01A-31D-A34T-01	-0.100000	0.100000
TCGA-X4-A8KS-01A-12D-A363-01	-0.100000	0.343000
TCGA-G9-7519-01A-11D-2259-01	-0.318000	0.100000
TCGA-HC-8256-01A-11D-2259-01	-0.480000	0.429000
TCGA-J9-A8CP-01A-11D-A34T-01	-0.685000	0.722000
TCGA-EJ-A46D-01A-21D-A256-01	-0.296000	0.100000
TCGA-YL-A9WH-01A-11D-A376-01	-0.699000	0.879000
TCGA-EJ-5517-01A-01D-1574-01	-0.825000	0.225000
TCGA-KC-A4BN-01A-61D-A256-01	-0.100000	0.100000
TCGA-V1-A8WV-01A-11D-A376-01	-0.531000	1.160000
TCGA-HC-A9TH-01A-11D-A41J-01	-0.809000	0.100000
TCGA-G9-6366-01A-11D-2112-01	-0.701000	1.556000
TCGA-G9-6379-01A-11D-A31K-01	-0.445000	0.100000
TCGA-V1-A9ZI-01A-11D-A41J-01	-0.894000	2.760000
TCGA-G9-6496-01A-11D-1785-01	-0.961000	2.834000
