SAMPLE_ID	mutations	gistic	structural_variants
DFCI.11-104.02-Tumor	WXS	WXS	WXS
DFCI.11-104.13-Tumor	WXS	WXS	WXS
MO_1008-Tumor_Dura	WXS	WXS	WXS
MO_1012-Tumor-Subcutaneous_nodule	WXS	WXS	WXS
MO_1013-Tumor	WXS	WXS	WXS
MO_1014-Tumor	WXS	WXS	WXS
MO_1015-Tumor	WXS	WXS	WXS
MO_1020-Tumor	WXS	WXS	WXS
MO_1040-Tumor	WXS	WXS	WXS
MO_1054-Tumor	WXS	WXS	WXS
MO_1071-Tumor	WXS	WXS	WXS
MO_1074-Tumor	WXS	WXS	WXS
MO_1084-Tumor	WXS	WXS	WXS
MO_1094-Tumor	WXS	WXS	WXS
MO_1095-Tumor	WXS	WXS	WXS
MO_1096-Tumor	WXS	WXS	WXS
MO_1114-Tumor	WXS	WXS	WXS
MO_1118-TM	WXS	WXS	WXS
MO_1124-Tumor	WXS	WXS	WXS
MO_1128-Tumor	WXS	WXS	WXS
MO_1130-Tumor	WXS	WXS	WXS
MO_1139-Tumor	WXS	WXS	WXS
MO_1161-TM	WXS	WXS	WXS
MO_1162-Tumor	WXS	WXS	WXS
MO_1176-Tumor	WXS	WXS	WXS
MO_1179-Tumor	WXS	WXS	WXS
MO_1184-Tumor	WXS	WXS	WXS
MO_1192-Tumor	WXS	WXS	WXS
MO_1202-Tumor	WXS	WXS	WXS
MO_1215-Tumor	WXS	WXS	WXS
MO_1219-Tumor	WXS	WXS	WXS
MO_1221-Tumor	WXS	WXS	WXS
MO_1232-Tumor	WXS	WXS	WXS
MO_1241-Tumor	WXS	WXS	WXS
MO_1244-Tumor	WXS	WXS	WXS
MO_1249-Tumor	WXS	WXS	WXS
MO_1262-Tumor	WXS	WXS	WXS
MO_1263-Tumor	WXS	WXS	WXS
MO_1277-TM	WXS	WXS	WXS
MO_1316-TM	WXS	WXS	WXS
MO_1336-TM	WXS	WXS	WXS
MO_1337-TM	WXS	WXS	WXS
MO_1339-TM	WXS	WXS	WXS
MO_1410-Tumor	WXS	WXS	WXS
MO_1420_Tumor	WXS	WXS	WXS
MO_1421_Tumor	WXS	WXS	WXS
MO_1443_T	WXS	WXS	WXS
MO_1446_T	WXS	WXS	WXS
MO_1447_Tumor	WXS	WXS	WXS
MO_1460_Tumor	WXS	WXS	WXS
MO_1469_T	WXS	WXS	WXS
MO_1473_Tumor	WXS	WXS	WXS
MO_1482_T	WXS	WXS	WXS
MO_1490_T	WXS	WXS	WXS
MO_1492_T	WXS	WXS	WXS
