MutationType	SBSCNVA
0:homdel:0-100kb	0.0003484299499954204
0:homdel:100kb-1Mb	0.000619745478975716
0:homdel:>1Mb	0.0006428906654669789
1:LOH:0-100kb	0.022493904313072563
1:LOH:100kb-1Mb	0.020504521967843175
1:LOH:1Mb-10Mb	0.010710819899104536
1:LOH:10Mb-40Mb	0.00367807570414152
1:LOH:>40Mb	0.0027641190267464707
2:LOH:0-100kb	0.012637096493504942
2:LOH:100kb-1Mb	0.04674632456898689
2:LOH:1Mb-10Mb	0.05686753690242767
2:LOH:10Mb-40Mb	0.016213792679831387
2:LOH:>40Mb	0.010658309290185571
3-4:LOH:0-100kb	0.024959574777632953
3-4:LOH:100kb-1Mb	0.11028150361776352
3-4:LOH:1Mb-10Mb	0.15805123174190522
3-4:LOH:10Mb-40Mb	0.025178393322974443
3-4:LOH:>40Mb	0.009391086282208562
5-8:LOH:0-100kb	0.0233797151632607
5-8:LOH:100kb-1Mb	0.060911906309425834
5-8:LOH:1Mb-10Mb	0.033472195737063885
5-8:LOH:10Mb-40Mb	0.005985022641718387
5-8:LOH:>40Mb	0.0006366376123130806
9+:LOH:0-100kb	0.008981614292599261
9+:LOH:100kb-1Mb	0.02022070340067148
9+:LOH:1Mb-10Mb	0.002180806903343182
9+:LOH:10Mb-40Mb	2.1881746403096258e-07
9+:LOH:>40Mb	2.1881746394569747e-07
2:het:0-100kb	0.0006059912987795712
2:het:100kb-1Mb	0.006551531422883272
2:het:1Mb-10Mb	0.010959058525040746
2:het:10Mb-40Mb	0.003122342242102604
2:het:>40Mb	0.0015637695426432003
3-4:het:0-100kb	0.005007878018077463
3-4:het:100kb-1Mb	0.05071689061075449
3-4:het:1Mb-10Mb	0.05635049982368946
3-4:het:10Mb-40Mb	0.01891903498582542
3-4:het:>40Mb	0.010266347523778677
5-8:het:0-100kb	0.00538232757942751
5-8:het:100kb-1Mb	0.04180664048343897
5-8:het:1Mb-10Mb	0.07308378376811743
5-8:het:10Mb-40Mb	0.018187488600611687
5-8:het:>40Mb	0.005268576448317617
9+:het:0-100kb	2.1881746388885404e-07
9+:het:100kb-1Mb	0.002463986681541428
9+:het:1Mb-10Mb	0.0009229735882400974
9+:het:10Mb-40Mb	0.000304043512039982
9+:het:>40Mb	2.188174640593843e-07
