NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
385	132.47	32.425	34.319	29.414	0.109	0.935	20000.0
386	138.478	32.405	38.101	30.954	0.109	0.93	20000.0
387	154.575	37.284	42.73	35.539	0.137	0.907	20000.0
388	140.023	36.107	34.895	32.294	0.135	0.918	20000.0
389	136.701	34.56	39.147	33.842	0.124	0.914	20000.0
390	136.172	34.019	36.57	32.041	0.119	0.924	20000.0
391	133.749	31.998	35.42	29.606	0.118	0.937	20000.0
392	143.008	36.701	37.768	33.715	0.135	0.91	20000.0
393	138.802	32.521	37.682	29.756	0.111	0.937	20000.0
394	143.119	34.66	38.202	32.337	0.118	0.921	20000.0
395	145.25	36.289	40.191	34.481	0.136	0.91	20000.0
396	138.985	32.734	36.478	30.157	0.117	0.935	20000.0
397	141.726	34.093	38.341	31.597	0.119	0.925	20000.0
398	145.385	35.27	39.054	32.89	0.125	0.918	20000.0
399	133.254	32.703	35.85	30.836	0.122	0.926	30000.0
400	140.219	34.854	37.521	32.366	0.125	0.922	20000.0
401	140.536	33.739	39.273	32.088	0.12	0.924	20000.0
402	133.147	33.239	34.906	30.888	0.111	0.927	20000.0
403	134.72	32.528	35.178	30.785	0.112	0.928	20000.0
404	134.976	33.639	36.449	32.344	0.118	0.921	20000.0
405	135.8	32.5	37.723	30.901	0.11	0.938	20000.0
406	127.367	30.928	34.769	29.378	0.105	0.935	20000.0
407	132.648	33.625	34.807	31.321	0.123	0.921	20000.0
408	144.926	34.771	39.244	33.114	0.118	0.918	30000.0
409	136.503	34.138	36.327	31.007	0.121	0.927	20000.0
410	139.097	32.648	37.296	30.133	0.111	0.936	20000.0
411	134.984	34.852	36.879	32.537	0.132	0.92	20000.0
412	136.658	33.59	36.457	31.306	0.114	0.928	20000.0
413	134.475	32.06	37.133	31.207	0.106	0.929	20000.0
414	135.922	32.275	37.188	30.441	0.11	0.934	20000.0
415	150.374	37.599	39.505	33.993	0.144	0.913	20000.0
416	139.589	34.594	37.831	33.006	0.119	0.92	20000.0
417	132.622	32.11	34.351	29.812	0.107	0.929	20000.0
418	134.691	33.633	35.047	31.568	0.125	0.924	20000.0
419	130.937	32.317	35.709	30.501	0.113	0.931	20000.0
420	138.295	32.812	37.584	30.767	0.117	0.933	20000.0
421	133.347	32.866	34.554	29.95	0.117	0.934	20000.0
422	134.713	31.956	35.744	29.78	0.102	0.937	20000.0
423	131.371	32.119	36.026	31.0	0.119	0.926	20000.0
424	133.203	31.91	35.316	29.137	0.112	0.94	20000.0
425	140.379	34.157	38.981	32.497	0.129	0.927	20000.0
426	140.099	33.36	38.665	31.073	0.116	0.933	20000.0
427	145.341	36.183	39.0	33.743	0.126	0.914	20000.0
428	136.5	33.122	36.538	30.665	0.107	0.932	20000.0
429	148.588	37.164	40.7	35.35	0.147	0.905	20000.0
430	129.112	32.743	34.919	30.99	0.113	0.928	20000.0
431	145.745	35.44	40.242	34.131	0.127	0.915	20000.0
432	131.011	32.863	35.629	31.33	0.113	0.929	20000.0
433	138.627	32.646	37.106	30.702	0.112	0.932	20000.0
434	132.037	33.169	35.69	31.116	0.117	0.929	20000.0
435	144.086	33.562	39.415	31.846	0.116	0.926	20000.0
436	138.972	32.557	35.448	30.709	0.116	0.93	20000.0
437	126.338	31.196	33.158	29.257	0.105	0.937	20000.0
438	141.814	33.546	38.558	31.453	0.116	0.931	20000.0
439	134.946	33.594	36.455	31.61	0.115	0.924	20000.0
440	135.185	33.561	36.369	31.508	0.114	0.924	20000.0
441	148.299	36.09	38.539	33.292	0.126	0.916	20000.0
442	139.7	33.302	37.656	31.761	0.123	0.923	20000.0
443	133.557	33.13	35.51	31.262	0.113	0.928	30000.0
444	144.668	36.354	38.379	33.448	0.139	0.914	20000.0
445	155.246	36.248	41.752	34.148	0.128	0.917	30000.0
446	131.644	32.947	35.243	31.501	0.121	0.921	20000.0
447	139.638	34.609	38.467	32.977	0.125	0.917	20000.0
448	137.495	32.915	35.687	30.932	0.116	0.926	20000.0
449	125.785	30.486	31.412	27.551	0.106	0.946	20000.0
450	143.638	35.274	37.958	32.993	0.131	0.919	20000.0
451	138.934	33.91	36.079	30.41	0.115	0.932	30000.0
452	131.823	33.021	34.781	30.347	0.116	0.931	20000.0
453	146.526	35.676	38.773	33.303	0.124	0.919	30000.0
454	139.45	34.96	35.943	32.049	0.13	0.923	20000.0
455	138.563	33.373	39.237	31.73	0.113	0.929	20000.0
456	132.397	31.325	34.525	28.845	0.101	0.941	30000.0
457	138.882	33.281	37.893	31.5	0.117	0.928	30000.0
458	152.824	35.293	40.596	33.287	0.119	0.921	20000.0
459	141.104	34.165	38.231	32.538	0.12	0.92	20000.0
460	131.494	32.608	35.584	30.927	0.108	0.926	20000.0
461	134.539	32.743	36.3	30.72	0.11	0.932	20000.0
462	134.25	33.623	36.205	31.202	0.111	0.928	20000.0
463	133.772	35.126	34.535	31.166	0.126	0.926	20000.0
464	134.177	33.353	35.594	30.558	0.115	0.931	20000.0
465	134.257	33.3	37.239	31.719	0.118	0.926	20000.0
466	143.983	35.128	40.663	33.715	0.126	0.918	20000.0
467	144.453	35.9	39.772	34.133	0.127	0.911	20000.0
468	140.415	35.505	39.164	33.909	0.127	0.917	20000.0
469	133.761	32.596	37.13	31.931	0.122	0.922	20000.0
470	138.988	34.058	37.665	32.247	0.123	0.925	30000.0
471	141.518	33.896	36.922	30.825	0.121	0.932	20000.0
472	148.273	35.101	39.981	32.39	0.12	0.923	20000.0
473	133.032	32.182	35.071	29.471	0.106	0.941	20000.0
474	143.115	34.543	39.933	33.09	0.115	0.925	20000.0
475	137.389	33.479	37.252	31.674	0.109	0.927	20000.0
476	143.386	34.879	37.352	32.217	0.115	0.926	20000.0
477	140.691	33.237	37.409	30.907	0.116	0.934	20000.0
478	142.698	33.71	39.574	32.332	0.115	0.924	20000.0
479	143.695	33.691	39.019	31.724	0.118	0.93	20000.0
480	145.135	35.122	38.587	32.902	0.124	0.92	20000.0
481	135.598	32.182	37.404	30.23	0.104	0.935	20000.0
482	131.497	32.107	34.399	29.098	0.104	0.94	20000.0
483	131.207	31.757	34.39	29.659	0.111	0.937	20000.0
484	149.64	36.955	39.268	33.456	0.137	0.914	20000.0
485	134.983	33.832	37.085	32.285	0.123	0.923	20000.0
486	136.977	32.962	37.164	31.44	0.119	0.926	20000.0
487	149.547	36.037	39.422	32.362	0.13	0.924	30000.0
488	130.801	33.923	32.594	29.685	0.119	0.931	20000.0
489	144.158	36.191	36.804	32.483	0.132	0.922	20000.0
490	131.739	31.767	35.895	30.446	0.107	0.932	20000.0
491	126.818	30.304	34.026	28.646	0.1	0.941	20000.0
492	141.021	34.511	36.164	30.792	0.125	0.933	20000.0
493	131.96	33.14	36.432	31.504	0.121	0.924	20000.0
494	140.928	35.225	36.347	32.452	0.129	0.918	20000.0
495	139.93	32.691	38.927	30.678	0.117	0.933	20000.0
496	143.06	34.742	39.187	33.296	0.126	0.916	20000.0
497	142.16	35.594	38.664	34.398	0.127	0.907	20000.0
498	132.39	33.588	35.147	31.103	0.125	0.923	20000.0
499	136.273	32.869	37.47	31.556	0.114	0.925	20000.0
500	139.68	33.848	37.656	31.517	0.119	0.927	20000.0
