NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
472	99.031	25.097	24.419	21.106	0.077	0.968	30000.0
473	87.755	25.698	21.909	22.849	0.084	0.952	20000.0
474	99.032	25.771	24.734	22.247	0.083	0.96	20000.0
475	103.743	26.512	27.459	24.565	0.077	0.955	20000.0
476	106.07	27.934	27.974	25.311	0.091	0.951	20000.0
477	97.511	27.005	23.682	23.064	0.089	0.955	30000.0
478	99.4	27.593	25.455	24.566	0.093	0.95	20000.0
479	86.124	23.247	21.312	19.567	0.075	0.97	20000.0
480	90.54	25.569	22.717	22.001	0.082	0.959	20000.0
481	95.486	25.81	23.668	23.161	0.074	0.953	30000.0
482	91.137	25.142	24.205	22.503	0.085	0.959	30000.0
483	93.321	25.373	23.951	22.783	0.081	0.958	20000.0
484	100.753	26.814	25.448	24.009	0.079	0.954	20000.0
485	101.429	26.92	25.986	23.298	0.083	0.96	20000.0
486	94.444	25.317	24.632	23.02	0.083	0.957	20000.0
487	95.684	26.623	24.455	23.767	0.09	0.952	20000.0
488	92.462	25.606	24.464	22.866	0.088	0.957	20000.0
489	97.592	26.261	25.089	22.92	0.086	0.957	20000.0
490	92.183	24.241	25.575	22.522	0.081	0.961	20000.0
491	81.507	21.467	21.98	19.997	0.066	0.97	20000.0
492	93.174	24.809	22.046	20.774	0.078	0.965	20000.0
493	100.589	26.633	25.635	23.965	0.092	0.953	20000.0
494	106.998	27.475	28.604	25.337	0.084	0.951	30000.0
495	96.017	26.513	25.743	23.874	0.081	0.953	30000.0
496	90.399	25.039	22.269	21.419	0.076	0.961	20000.0
497	89.621	24.355	22.49	20.612	0.079	0.967	20000.0
498	97.369	26.387	25.611	24.35	0.085	0.954	20000.0
499	97.558	25.977	25.899	23.078	0.076	0.96	20000.0
500	90.834	24.897	23.862	22.686	0.082	0.959	20000.0
