MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	9.662546086663326e-05	0.0013656575349309747	0.0012106696773547298
0:homdel:100kb-1Mb	0.00021534141153770037	0.0018019666773510892	2.264308514838831e-07
0:homdel:>1Mb	1.3592168132348093e-08	0.0007474412119110276	0.013427013800479472
1:LOH:0-100kb	0.02296172388084233	0.03828787212446332	1.4617887650558715e-08
1:LOH:100kb-1Mb	0.0097755311219953	0.08163760225474835	2.577401258914271e-07
1:LOH:1Mb-10Mb	0.004720296449842863	0.05512540168315172	0.008202446344600432
1:LOH:10Mb-40Mb	9.08409595011006e-06	0.011604875814169646	0.020368884078226984
1:LOH:>40Mb	7.990416210690298e-09	0.001326610622244118	0.017702869253233076
2:LOH:0-100kb	0.007748534599897709	0.0330460367500782	0.0011482671107246657
2:LOH:100kb-1Mb	0.028538535764440893	0.1176291963905096	0.0031489508494229723
2:LOH:1Mb-10Mb	0.006763059565576171	0.18831435695290566	0.01690584345897844
2:LOH:10Mb-40Mb	0.0022441304302704586	0.04428857972472906	0.020747481351252647
2:LOH:>40Mb	0.00789302028165207	0.011132936748256468	0.01847591846063733
3-4:LOH:0-100kb	0.024180308079347016	0.031705043084919456	0.0220102019776823
3-4:LOH:100kb-1Mb	0.12785096910595894	0.08369366016983985	0.07091047317534685
3-4:LOH:1Mb-10Mb	0.21980917724967003	0.07325562068074942	0.044142041761428115
3-4:LOH:10Mb-40Mb	0.032617832716554405	0.0030373172176424317	0.021868189765140413
3-4:LOH:>40Mb	0.013713464873842895	0.0014585021575711302	0.00438038156059574
5-8:LOH:0-100kb	0.030645620349794626	0.009362915510311723	0.015599377067752357
5-8:LOH:100kb-1Mb	0.06845836377888918	0.04884468787536025	0.04184548028931022
5-8:LOH:1Mb-10Mb	0.04540660997480154	0.0033267331441747955	0.03254524901881814
5-8:LOH:10Mb-40Mb	0.007539448082214221	0.0015495996022330462	0.008169911341313537
5-8:LOH:>40Mb	0.0009262202973613682	4.6413243097731536e-08	0.00036460956906040563
9+:LOH:0-100kb	0.014572701072320343	0.002158334804493787	2.8020551853913388e-08
9+:LOH:100kb-1Mb	0.03379510107263923	0.001027140174923614	4.63431533539449e-08
9+:LOH:1Mb-10Mb	0.0035598544283363368	6.0679846112186906e-05	2.5636048973609606e-07
9+:LOH:10Mb-40Mb	1.5512751213009324e-07	1.3585244593627977e-07	5.458528130475315e-07
9+:LOH:>40Mb	1.5512751213009324e-07	1.3585244593627977e-07	5.458528130475315e-07
2:het:0-100kb	8.761784749765411e-05	0.0026424454472533513	2.0675840627859543e-07
2:het:100kb-1Mb	4.5551591279340635e-08	0.03573626201972365	0.0010583260226859465
2:het:1Mb-10Mb	0.0008498787349750266	0.055641413033008576	0.011258592815319162
2:het:10Mb-40Mb	0.0002269678172084637	0.0034194127527906845	0.02781582815758884
2:het:>40Mb	8.064411617159095e-09	0.0013570704714429488	0.012218727170024066
3-4:het:0-100kb	0.006994338961783797	0.0025116595316365463	0.004952591654849939
3-4:het:100kb-1Mb	0.0727410478591919	0.016253171807155013	0.019414071300067007
3-4:het:1Mb-10Mb	0.04769123776257038	0.01759181850403547	0.12852910125255584
3-4:het:10Mb-40Mb	1.2462967414919036e-05	0.0013051429563754294	0.10007505343854427
3-4:het:>40Mb	0.0015115273326808348	0.0001567071153641404	0.0469953443184495
5-8:het:0-100kb	0.0063121950074564665	1.3993105225207358e-08	0.0068581377625520756
5-8:het:100kb-1Mb	0.03915113402158022	0.0031336470158130395	0.09030409502983093
5-8:het:1Mb-10Mb	0.08675302424281836	0.012598425997653977	0.10468647488951684
5-8:het:10Mb-40Mb	0.015494664112105965	0.0007960722593028677	0.045346209470182655
5-8:het:>40Mb	0.0036183754868688994	4.83758272373791e-09	0.013586020629561973
9+:het:0-100kb	1.5512751213009324e-07	1.3585244593627977e-07	5.458528130475315e-07
9+:het:100kb-1Mb	0.002789459168772389	0.0010672865395925193	0.0028761303840105085
9+:het:1Mb-10Mb	0.0012734969658338856	3.734248456055411e-08	0.0006427916170592312
9+:het:10Mb-40Mb	0.0004503191678575149	7.546257536006351e-08	0.00020502019154002937
9+:het:>40Mb	1.5512751213009324e-07	1.3585244593627977e-07	5.458528130475315e-07
