NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
285	156.74	35.202	42.339	32.389	0.135	0.927	20000.0
286	148.102	38.204	36.05	33.689	0.155	0.906	20000.0
287	149.984	36.601	38.874	34.094	0.144	0.916	20000.0
288	146.392	37.894	35.684	33.293	0.159	0.907	20000.0
289	140.722	34.804	36.386	31.973	0.135	0.925	20000.0
290	163.702	36.648	42.926	33.202	0.131	0.92	20000.0
291	146.614	35.911	36.396	30.957	0.145	0.93	20000.0
292	152.276	38.377	38.558	34.71	0.161	0.91	20000.0
293	143.776	35.692	34.734	31.571	0.148	0.918	20000.0
294	153.08	38.733	39.606	33.814	0.17	0.917	20000.0
295	167.202	41.948	43.403	37.938	0.184	0.888	20000.0
296	151.342	34.284	38.012	29.68	0.132	0.932	20000.0
297	160.531	38.699	40.553	34.76	0.157	0.906	20000.0
298	142.781	36.844	36.14	32.931	0.154	0.91	20000.0
299	159.885	39.273	41.011	35.424	0.159	0.907	20000.0
300	161.7	36.678	40.52	33.007	0.136	0.92	20000.0
301	153.001	39.363	37.608	34.761	0.165	0.899	20000.0
302	163.347	36.285	42.309	33.2	0.134	0.918	20000.0
303	160.042	40.546	38.643	34.395	0.171	0.909	20000.0
304	153.22	36.816	39.221	33.819	0.141	0.91	20000.0
305	157.874	36.72	39.118	33.304	0.142	0.915	30000.0
306	139.253	35.119	35.406	31.372	0.145	0.926	20000.0
307	147.198	36.91	36.893	32.323	0.157	0.915	20000.0
308	150.331	34.301	38.195	30.44	0.123	0.93	20000.0
309	164.599	41.665	42.129	37.454	0.176	0.889	20000.0
310	154.746	35.174	39.114	31.747	0.137	0.925	20000.0
311	147.546	37.058	36.771	33.173	0.157	0.912	20000.0
312	152.962	39.997	39.692	36.376	0.178	0.891	20000.0
313	149.029	36.463	38.057	33.622	0.141	0.909	20000.0
314	151.297	39.268	38.245	35.598	0.158	0.9	20000.0
315	159.892	37.676	41.845	33.851	0.138	0.915	20000.0
316	151.262	37.89	37.283	33.757	0.151	0.914	20000.0
317	153.204	38.658	37.767	34.651	0.153	0.902	30000.0
318	160.055	36.976	39.824	32.925	0.147	0.919	20000.0
319	164.739	38.297	42.494	35.34	0.153	0.911	20000.0
320	147.829	35.185	35.573	30.609	0.131	0.926	20000.0
321	147.637	38.195	37.533	33.187	0.153	0.911	20000.0
322	148.905	36.391	37.595	32.74	0.145	0.915	20000.0
323	142.539	34.315	38.573	33.55	0.135	0.921	20000.0
324	157.085	39.505	40.772	36.257	0.156	0.9	20000.0
325	148.792	36.907	38.528	34.11	0.146	0.905	20000.0
326	157.366	39.025	37.515	32.992	0.159	0.915	20000.0
327	150.342	37.323	37.076	32.316	0.151	0.92	20000.0
328	140.139	36.458	34.612	32.297	0.152	0.911	20000.0
329	147.563	37.856	36.33	32.686	0.164	0.913	20000.0
330	158.03	37.821	38.298	32.6	0.152	0.918	30000.0
331	156.891	39.861	39.115	34.986	0.166	0.905	20000.0
332	158.357	36.387	43.641	33.924	0.135	0.92	20000.0
333	154.053	37.333	37.962	33.174	0.141	0.916	20000.0
