MutationType	SBSCNVA	SBSCNVB
0:homdel:0-100kb	0.00037584646164808786	0.001170808387929739
0:homdel:100kb-1Mb	5.5513536545248594e-06	0.0014887156748703064
0:homdel:>1Mb	0.004615991579491649	0.0011702285956479406
1:LOH:0-100kb	0.0076863638905773825	0.03948030164465308
1:LOH:100kb-1Mb	0.0025569983792624665	0.06411073917895556
1:LOH:1Mb-10Mb	0.005153472181959934	0.04166464151442051
1:LOH:10Mb-40Mb	0.007232117904087904	0.009063292602542787
1:LOH:>40Mb	0.006397485797673852	0.0013967694447949324
2:LOH:0-100kb	0.00283664600234808	0.02790108346566558
2:LOH:100kb-1Mb	0.009342957588893731	0.1006411803662777
2:LOH:1Mb-10Mb	0.008281288085976179	0.13874568763375283
2:LOH:10Mb-40Mb	0.009232115419008351	0.032302520178258416
2:LOH:>40Mb	0.011570147181395441	0.010465095195428773
3-4:LOH:0-100kb	0.022111735589802266	0.030592346176505088
3-4:LOH:100kb-1Mb	0.0972440140992403	0.10287131369113922
3-4:LOH:1Mb-10Mb	0.11822741456329823	0.1410386354252696
3-4:LOH:10Mb-40Mb	0.030421067897230387	0.009303380834087943
3-4:LOH:>40Mb	0.011379066721070558	0.003786815265237969
5-8:LOH:0-100kb	0.026796998105943205	0.013588398490035332
5-8:LOH:100kb-1Mb	0.053872132793068885	0.057863820772618056
5-8:LOH:1Mb-10Mb	0.05241135571151972	0.005687987327052925
5-8:LOH:10Mb-40Mb	0.00896477226447314	0.0022670213474315945
5-8:LOH:>40Mb	0.0010354596110960018	7.256219512242979e-06
9+:LOH:0-100kb	0.011324643465457484	0.0037405700867260555
9+:LOH:100kb-1Mb	0.028316040586680174	0.0040006022464517095
9+:LOH:1Mb-10Mb	0.002272764999389331	0.0010006421977404045
9+:LOH:10Mb-40Mb	3.31783211123593e-07	1.1910143322779732e-07
9+:LOH:>40Mb	3.31783211123593e-07	1.1910143322779732e-07
2:het:0-100kb	5.991289568598291e-06	0.0019703206229239358
2:het:100kb-1Mb	3.4186001196067084e-05	0.02590535768866539
2:het:1Mb-10Mb	0.002567763824494365	0.0424403854124248
2:het:10Mb-40Mb	0.010507532201916293	0.0030829435924442697
2:het:>40Mb	0.004310982641926102	0.001406345306576389
3-4:het:0-100kb	0.0066853432990691885	0.0033110145336687625
3-4:het:100kb-1Mb	0.05295111673697829	0.030817256989888846
3-4:het:1Mb-10Mb	0.08205175084248185	0.022488636282272635
3-4:het:10Mb-40Mb	0.03749284641483224	0.002007131974468151
3-4:het:>40Mb	0.019017540655963283	0.0006578555026098121
5-8:het:0-100kb	0.008565093990182505	0.00018349152334183304
5-8:het:100kb-1Mb	0.07105435743555427	0.004003583524043676
5-8:het:1Mb-10Mb	0.11884943111240864	0.01412802925426513
5-8:het:10Mb-40Mb	0.03204532305337489	0.00112417235435292
5-8:het:>40Mb	0.008712355182506144	4.8823510144730336e-05
9+:het:0-100kb	3.31783211123593e-07	1.1910143322779732e-07
9+:het:100kb-1Mb	0.0034598795448777934	0.0010584933813481143
9+:het:1Mb-10Mb	0.001499827545131609	1.2821243998971e-05
9+:het:10Mb-40Mb	0.0005229025218660297	2.997982748844663e-06
9+:het:>40Mb	3.31783211123593e-07	1.1910143322779732e-07
