Sample Names	MutationTypes	CNV48A	CNV48B
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	1:LOH:0-100kb	0.9986360853614499	0.0013639146385500667
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	1:LOH:100kb-1Mb	0.9886633969354005	0.011336603064599458
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	1:LOH:1Mb-10Mb	0.5159184482314044	0.48408155176859563
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	1:LOH:10Mb-40Mb	0.1217555893427567	0.8782444106572432
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	1:LOH:>40Mb	0.0012443099007458363	0.9987556900992541
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:LOH:0-100kb	0.9452787488716372	0.054721251128362805
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:LOH:100kb-1Mb	0.9278343969628765	0.07216560303712351
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:LOH:1Mb-10Mb	0.8072653955688733	0.19273460443112667
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:LOH:10Mb-40Mb	0.4840957602736654	0.5159042397263347
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:LOH:>40Mb	0.45303776364466647	0.5469622363553336
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:LOH:0-100kb	0.5667210624051253	0.4332789375948746
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:LOH:100kb-1Mb	0.60340306685477	0.39659693314523004
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:LOH:1Mb-10Mb	0.827634634575938	0.17236536542406194
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:LOH:10Mb-40Mb	0.44356392282838564	0.5564360771716143
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:LOH:>40Mb	0.540959044408903	0.459040955591097
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:LOH:0-100kb	0.5027768517719029	0.49722314822809704
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:LOH:100kb-1Mb	0.5651360348100745	0.4348639651899256
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:LOH:1Mb-10Mb	0.28417877578920003	0.7158212242108
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:LOH:10Mb-40Mb	0.43141907218887965	0.5685809278111204
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:LOH:>40Mb	0.03763805332586966	0.9623619466741303
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:LOH:0-100kb	0.6503908698262971	0.34960913017370293
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:LOH:100kb-1Mb	0.6638662190907927	0.33613378090920737
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:LOH:1Mb-10Mb	0.7342223459867037	0.2657776540132963
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:LOH:10Mb-40Mb	0.21629752571655358	0.7837024742834463
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:LOH:>40Mb	0.21629752571655358	0.7837024742834463
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:het:0-100kb	0.9997498669785962	0.00025013302140377647
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:het:100kb-1Mb	0.9366925566004328	0.06330744339956709
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:het:1Mb-10Mb	0.7055912254411221	0.29440877455887804
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:het:10Mb-40Mb	0.05953162733982137	0.9404683726601786
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	2:het:>40Mb	0.00041363491359751775	0.9995863650864024
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:het:0-100kb	0.7229503227195032	0.27704967728049684
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:het:100kb-1Mb	0.6861975727142555	0.3138024272857444
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:het:1Mb-10Mb	0.3203419195467512	0.6796580804532488
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:het:10Mb-40Mb	0.010124070892161094	0.9898759291078388
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	3-4:het:>40Mb	0.03343908092036831	0.9665609190796316
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:het:0-100kb	0.18170327948531206	0.8182967205146879
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:het:100kb-1Mb	0.13871667094497986	0.8612833290550203
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:het:1Mb-10Mb	0.18911700853529154	0.8108829914647084
