sample	segment_count	included
TCGA-G9-A9S7-01A-11D-A41J-01	178	yes
TCGA-EJ-5542-01A-01D-1574-01	157	yes
TCGA-V1-A9OT-01A-11D-A41J-01	141	yes
TCGA-CH-5743-01A-21D-1574-01	31	yes
TCGA-EJ-A65E-01A-11D-A323-01	178	yes
TCGA-J4-A67T-01A-11D-A30W-01	89	yes
TCGA-KC-A7F5-01A-11D-A33S-01	151	yes
TCGA-EJ-A8FU-01A-11D-A363-01	57	yes
TCGA-EJ-7792-01A-11D-2112-01	88	yes
TCGA-HC-7079-01A-11D-1959-01	41	yes
TCGA-YL-A9WI-01A-11D-A376-01	466	yes
TCGA-EJ-A46H-01A-31D-A26L-01	28	yes
TCGA-KK-A7AW-01A-11D-A32A-01	134	yes
TCGA-EJ-7315-01A-31D-2112-01	146	yes
TCGA-V1-A8MG-01A-11D-A363-01	293	yes
TCGA-EJ-5522-01A-01D-1574-01	108	yes
TCGA-KK-A8I8-01A-11D-A363-01	167	yes
TCGA-KC-A4BR-01A-32D-A256-01	65	yes
TCGA-2A-AAYF-01A-11D-A41J-01	85	yes
TCGA-ZG-A9ND-01A-11D-A41J-01	409	yes
TCGA-HC-7081-01A-11D-1959-01	107	yes
TCGA-EJ-5519-01A-01D-1574-01	166	yes
TCGA-2A-A8W3-01A-11D-A376-01	122	yes
TCGA-HC-A76W-01A-11D-A33S-01	75	yes
TCGA-J9-A8CP-01A-11D-A34T-01	417	yes
TCGA-EJ-5502-01A-01D-1574-01	59	yes
TCGA-EJ-5507-01A-01D-1574-01	245	yes
TCGA-X4-A8KQ-01A-12D-A363-01	108	yes
TCGA-YL-A8HJ-01A-11D-A363-01	66	yes
TCGA-XK-AAJP-01A-11D-A41J-01	510	yes
TCGA-J9-A8CN-01A-11D-A34T-01	148	yes
TCGA-YL-A8SA-01A-21D-A376-01	134	yes
TCGA-J9-A52C-01A-11D-A26L-01	53	yes
TCGA-FC-7708-01A-11D-2112-01	133	yes
TCGA-YL-A9WH-01A-11D-A376-01	166	yes
TCGA-EJ-7781-01A-11D-2112-01	107	yes
TCGA-YL-A8SC-01A-11D-A376-01	128	yes
TCGA-KK-A7AU-01A-11D-A32A-01	148	yes
TCGA-KC-A7FA-01A-21D-A33S-01	145	yes
TCGA-KK-A8IF-01A-11D-A363-01	509	yes
TCGA-2A-A8VL-01A-21D-A376-01	97	yes
TCGA-CH-5744-01A-11D-1574-01	142	yes
TCGA-HC-A6AO-01A-11D-A30D-01	90	yes
TCGA-EJ-5510-01A-01D-1574-01	78	yes
TCGA-TK-A8OK-01A-22D-A363-01	165	yes
TCGA-G9-6343-01A-21D-1959-01	96	yes
TCGA-VP-A87H-01A-11D-A34T-01	104	yes
TCGA-HC-7210-01A-11D-2112-01	144	yes
TCGA-CH-5738-01A-11D-1574-01	48	yes
TCGA-EJ-A46E-01A-31D-A256-01	33	yes
TCGA-HC-7748-01A-11D-2112-01	91	yes
TCGA-VP-A87K-01A-11D-A34T-01	212	yes
TCGA-KK-A6E7-01A-11D-A31K-01	131	yes
TCGA-EJ-7785-01A-11D-2112-01	89	yes
TCGA-EJ-5518-01A-01D-1574-01	726	yes
TCGA-KK-A8I9-01A-11D-A363-01	264	yes
TCGA-J9-A52B-01A-11D-A26L-01	114	yes
TCGA-G9-6364-01A-21D-1785-01	91	yes
TCGA-J9-A52E-01A-11D-A26L-01	138	yes
TCGA-XJ-A9DI-01A-11D-A376-01	136	yes
TCGA-HC-A8D1-01A-11D-A363-01	50	yes
TCGA-YL-A8S8-01A-11D-A376-01	303	yes
TCGA-EJ-5517-01A-01D-1574-01	86	yes
TCGA-EJ-5524-01A-01D-1574-01	294	yes
TCGA-KK-A59Y-01A-11D-A26L-01	120	yes
TCGA-XJ-A9DQ-01A-11D-A376-01	68	yes
TCGA-QU-A6IO-01A-11D-A31K-01	156	yes
TCGA-HC-7209-01A-11D-2112-01	114	yes
TCGA-XA-A8JR-01A-11D-A363-01	113	yes
TCGA-V1-A9OH-01A-11D-A41J-01	136	yes
TCGA-EJ-5505-01A-01D-1574-01	181	yes
TCGA-J4-A67L-01A-11D-A30D-01	103	yes
TCGA-KK-A8IL-01A-11D-A363-01	74	yes
TCGA-HC-7213-01A-11D-2112-01	213	yes
TCGA-VP-A878-01A-31D-A34T-01	172	yes
TCGA-HC-A8D0-01A-11D-A363-01	128	yes
TCGA-KK-A8IG-01A-11D-A363-01	231	yes
TCGA-EJ-5515-01A-01D-1574-01	183	yes
TCGA-G9-6338-01A-12D-1959-01	358	yes
TCGA-EJ-8470-01A-11D-2391-01	347	yes
TCGA-CH-5753-01A-11D-1574-01	106	yes
TCGA-V1-A9ZR-01A-11D-A41J-01	145	yes
TCGA-V1-A9Z7-01A-11D-A41J-01	351	yes
TCGA-CH-5737-01A-11D-1574-01	376	yes
TCGA-VN-A88M-01A-11D-A34T-01	111	yes
TCGA-ZG-A9LY-01A-11D-A41J-01	138	yes
TCGA-KK-A6E2-01A-11D-A30W-01	144	yes
TCGA-EJ-A7NG-01A-31D-A33S-01	38	yes
TCGA-EJ-A46B-01A-31D-A256-01	39	yes
TCGA-HI-7170-01A-11D-2112-01	41	yes
TCGA-M7-A721-01A-12D-A32A-01	254	yes
TCGA-G9-6333-01A-12D-1959-01	183	yes
TCGA-G9-6365-01A-11D-1785-01	56	yes
TCGA-VP-A876-01A-11D-A34T-01	184	yes
TCGA-TP-A8TV-01A-11D-A41J-01	744	yes
TCGA-J4-AATZ-01A-11D-A41J-01	196	yes
TCGA-KK-A7B0-01A-11D-A32A-01	154	yes
TCGA-EJ-7330-01A-11D-2112-01	275	yes
TCGA-VP-A872-01A-11D-A34T-01	119	yes
TCGA-H9-A6BY-01A-11D-A30D-01	61	yes
TCGA-KK-A8IH-01A-11D-A363-01	337	yes
TCGA-KC-A7FE-01A-12D-A33S-01	53	yes
TCGA-EJ-A65J-01A-11D-A30W-01	216	yes
TCGA-EJ-7314-01A-31D-2112-01	106	yes
TCGA-EJ-A8FS-01A-11D-A34T-01	130	yes
TCGA-HC-8256-01A-11D-2259-01	69	yes
TCGA-HI-7171-01A-12D-2112-01	229	yes
TCGA-ZG-A9LM-01A-11D-A41J-01	153	yes
TCGA-EJ-A46D-01A-21D-A256-01	69	yes
TCGA-2A-A8VX-01A-11D-A376-01	375	yes
TCGA-V1-A8MK-01A-11D-A363-01	78	yes
TCGA-KK-A8I4-01A-11D-A363-01	172	yes
TCGA-EJ-A46G-01A-31D-A26L-01	855	yes
TCGA-J4-A83J-01A-11D-A363-01	484	yes
TCGA-EJ-A46I-01A-12D-A26L-01	60	yes
TCGA-EJ-7786-01A-11D-2112-01	135	yes
TCGA-V1-A9Z8-01A-11D-A41J-01	138	yes
TCGA-VN-A88K-01A-11D-A34T-01	156	yes
TCGA-EJ-A6RC-01A-11D-A32A-01	71	yes
TCGA-KK-A7B3-01A-11D-A33S-01	102	yes
TCGA-ZG-A8QY-01A-11D-A376-01	364	yes
TCGA-ZG-A8QX-01A-11D-A376-01	121	yes
TCGA-EJ-7125-01A-11D-1959-01	49	yes
TCGA-EJ-7794-01A-11D-2112-01	124	yes
TCGA-YL-A8S9-01A-11D-A376-01	147	yes
TCGA-EJ-5531-01A-01D-1574-01	125	yes
TCGA-HC-7231-01A-11D-2112-01	106	yes
TCGA-G9-6347-01A-11D-A31K-01	42	yes
TCGA-KK-A6DY-01A-12D-A30W-01	85	yes
TCGA-EJ-7331-01A-11D-2112-01	77	yes
TCGA-YL-A8HO-01A-11D-A363-01	295	yes
TCGA-EJ-A7NK-01A-12D-A34T-01	49	yes
TCGA-G9-6373-01A-11D-1785-01	126	yes
TCGA-KK-A7AV-01A-11D-A32A-01	126	yes
TCGA-HC-A4ZV-01A-11D-A26L-01	195	yes
TCGA-G9-6332-01A-11D-1785-01	135	yes
TCGA-YL-A8SI-01A-11D-A41J-01	57	yes
TCGA-J4-A67K-01A-21D-A30D-01	105	yes
TCGA-EJ-7115-01A-11D-2112-01	179	yes
TCGA-KK-A7AQ-01A-11D-A33S-01	666	yes
TCGA-G9-6379-01A-11D-A31K-01	151	yes
TCGA-QU-A6IN-01A-11D-A31K-01	78	yes
TCGA-QU-A6IM-01A-11D-A31K-01	222	yes
TCGA-V1-A9OF-01A-11D-A41J-01	109	yes
TCGA-KK-A8IK-01A-11D-A363-01	201	yes
TCGA-V1-A8WW-01A-11D-A376-01	193	yes
TCGA-EJ-A65M-01A-11D-A323-01	247	yes
TCGA-CH-5752-01A-11D-1574-01	165	yes
TCGA-EJ-8474-01A-11D-2391-01	172	yes
TCGA-HC-8258-01A-11D-2259-01	71	yes
TCGA-CH-5750-01A-11D-1574-01	68	yes
TCGA-KK-A6E1-01A-11D-A30W-01	272	yes
TCGA-KK-A59Z-01A-12D-A26L-01	164	yes
