sample	segment_count	included
TCGA-EJ-5516-01A-01D-1574-01	177	yes
TCGA-HI-7168-01A-11D-2112-01	246	yes
TCGA-M7-A71Z-01A-12D-A32A-01	140	yes
TCGA-FC-A4JI-01A-11D-A256-01	663	yes
TCGA-ZG-A9L0-01A-11D-A41J-01	545	yes
TCGA-HC-7750-01A-11D-2112-01	57	yes
TCGA-ZG-A9N3-01A-11D-A41J-01	242	yes
TCGA-HC-7212-01A-11D-2112-01	104	yes
TCGA-HC-7740-01A-11D-2112-01	67	yes
TCGA-VP-A87D-01A-11D-A34T-01	283	yes
TCGA-ZG-A9KY-01A-11D-A41J-01	597	yes
TCGA-ZG-A9LZ-01A-11D-A41J-01	238	yes
TCGA-VP-A875-01A-31D-A34T-01	321	yes
TCGA-HC-7744-01A-11D-2112-01	141	yes
TCGA-CH-5761-01A-11D-1574-01	266	yes
TCGA-HC-8216-01A-11D-A323-01	336	yes
TCGA-HC-7736-01A-11D-2112-01	226	yes
TCGA-CH-5766-01A-11D-1574-01	119	yes
TCGA-ZG-A9L9-01A-11D-A41J-01	334	yes
TCGA-HC-7747-01A-11D-2112-01	119	yes
TCGA-EJ-5514-01A-01D-1574-01	163	yes
TCGA-HC-7749-01A-11D-2112-01	120	yes
TCGA-EJ-8472-01A-11D-2391-01	185	yes
TCGA-CH-5751-01A-11D-1574-01	499	yes
TCGA-J9-A8CL-01A-11D-A34T-01	597	yes
TCGA-XQ-A8TA-01A-11D-A363-01	479	yes
TCGA-HC-7821-01A-12D-2112-01	297	yes
TCGA-HC-7738-01A-11D-2112-01	90	yes
TCGA-KK-A8ID-01A-11D-A363-01	1088	yes
TCGA-HC-7745-01A-11D-2112-01	120	yes
TCGA-KK-A7B4-01A-11D-A32A-01	234	yes
TCGA-KK-A6E4-01A-11D-A30D-01	67	yes
